
NU_ANO_CENSO,UNIDGEO,NO_CATEGORIA,NO_DEPENDENCIA,EDU_BAS_CAT_1,EDU_BAS_CAT_2,EDU_BAS_CAT_3,EDU_BAS_CAT_4,EDU_BAS_CAT_5,EDU_BAS_CAT_6
2024,Sudeste,Rural,Estadual,7.2,18.5,39.4,25.3,8.2,1.4
2024,Sudeste,Total,Municipal,32.6,42.7,17,2.4,4,1.3
2024,Sudeste,Urbana,Municipal,27.6,45.7,17.9,2.8,4.6,1.4
2024,Sudeste,Rural,Municipal,57,28.1,12.9,0.7,1.1,0.2
2024,Sudeste,Total,Privada,40.9,23.1,15.9,19.4,0.5,0.2
2024,Sudeste,Urbana,Privada,41,23,15.9,19.5,0.5,0.1
2024,Sudeste,Rural,Privada,33.5,43.5,12.4,10.6,0,0
2024,Sudeste,Total,Pública,24.8,36.8,17.1,11.6,6.1,3.6
2024,Sudeste,Urbana,Pública,20.5,38.5,17.2,12.8,6.8,4.2
2024,Sudeste,Rural,Pública,49.7,26.7,16.7,4.3,2.1,0.5
2024,Sul,Total,Total,28.5,29.5,22.7,13.8,3.5,2
2024,Sul,Urbana,Total,27.5,28.9,21.9,15.6,3.9,2.2
2024,Sul,Rural,Total,34.4,33.1,27,4,1.3,0.2
2024,Sul,Total,Federal,1.7,17.8,28.8,36.4,15.3,0
2024,Sul,Urbana,Federal,1.9,15.4,29.8,35.6,17.3,0
2024,Sul,Rural,Federal,0,35.7,21.4,42.9,0,0
2024,Sul,Total,Estadual,8.3,11.3,30.9,35.7,9.8,4
2024,Sul,Urbana,Estadual,5.6,9.2,27.8,41.4,11.4,4.6
2024,Sul,Rural,Estadual,19.8,20.3,44.2,11.8,3.4,0.5
2024,Sul,Total,Municipal,29.3,42.4,21.3,3,2.2,1.8
2024,Sul,Urbana,Municipal,26.5,43.4,21.5,3.7,2.6,2.3
2024,Sul,Rural,Municipal,40.1,38.2,20.5,0.5,0.6,0.1
2024,Sul,Total,Privada,45.9,17.6,18.2,17.5,0.6,0.2
2024,Sul,Urbana,Privada,45.9,17.5,18.2,17.5,0.7,0.2
2024,Sul,Rural,Privada,41.5,24.5,18.9,15.1,0,0
2024,Sul,Total,Pública,23.1,33.3,24.1,12.6,4.5,2.4
2024,Sul,Urbana,Pública,20.3,33.3,23.4,14.8,5.2,3
2024,Sul,Rural,Pública,34.3,33.2,27.1,3.8,1.4,0.2
2024,Centro-Oeste,Total,Total,19,34.8,22.2,16.2,4.8,3
2024,Centro-Oeste,Urbana,Total,17.4,35.1,22.6,16.8,4.9,3.2
2024,Centro-Oeste,Rural,Total,28.6,33.2,19.8,12.4,4.4,1.6
2024,Centro-Oeste,Total,Federal,0,17.6,20.6,44.1,17.7,0
2024,Centro-Oeste,Urbana,Federal,0,17,17,45.3,20.7,0
2024,Centro-Oeste,Rural,Federal,0,20,33.3,40,6.7,0
2024,Centro-Oeste,Total,Estadual,2.2,23.4,21.3,31.8,12.4,8.9
2024,Centro-Oeste,Urbana,Estadual,1.7,23.5,21.7,31.2,12.2,9.7
2024,Centro-Oeste,Rural,Estadual,5,22.8,18.9,35,13.9,4.4
2024,Centro-Oeste,Total,Municipal,25,44.1,22,4.5,2.9,1.5
2024,Centro-Oeste,Urbana,Municipal,21.7,45.8,22.6,4.7,3.5,1.7
2024,Centro-Oeste,Rural,Municipal,37.8,37.7,19.8,3.4,0.8,0.5
2024,Centro-Oeste,Total,Privada,24.5,29.1,23.5,22.2,0.5,0.2
2024,Centro-Oeste,Urbana,Privada,24.3,29.1,23.5,22.3,0.5,0.3
2024,Centro-Oeste,Rural,Privada,37,22.2,25.9,14.9,0,0
2024,Centro-Oeste,Total,Pública,17.1,36.8,21.8,14.1,6.3,3.9
2024,Centro-Oeste,Urbana,Pública,14.4,37.6,22.3,14.5,6.7,4.5
2024,Centro-Oeste,Rural,Pública,28.4,33.4,19.7,12.4,4.5,1.6
2024,Rondônia,Total,Total,15.4,36.7,28.2,14.8,3.7,1.2
2024,Rondônia,Urbana,Total,5.2,42.3,26.6,18.7,5.4,1.8
2024,Rondônia,Rural,Total,38.4,23.9,31.7,6,0,0
2024,Rondônia,Total,Federal,0,30,30,30,10,0
2024,Rondônia,Urbana,Federal,0,12.5,37.5,37.5,12.5,0
2024,Rondônia,Rural,Federal,0,100,0,0,0,0
2024,Rondônia,Total,Estadual,11.7,10.9,35,32.6,6.3,3.5
2024,Rondônia,Urbana,Estadual,1.4,12.5,32.2,40.1,9,4.8
2024,Rondônia,Rural,Estadual,36.1,7.4,41.8,14.7,0,0
2024,Rondônia,Total,Municipal,18.4,54.5,23.5,0.8,2.8,0
2024,Rondônia,Urbana,Municipal,4.8,68.9,21.2,0.5,4.6,0
2024,Rondônia,Rural,Municipal,40.6,31,27.2,1.2,0,0
2024,Rondônia,Total,Privada,14.5,32.7,28.9,23.3,0,0.6
2024,Rondônia,Urbana,Privada,14,32,29.3,24,0,0.7
2024,Rondônia,Rural,Privada,22.2,44.4,22.2,11.2,0,0
2024,Rondônia,Total,Pública,15.6,37.3,28,13.5,4.3,1.3
2024,Rondônia,Urbana,Pública,3.3,44.6,26,17.6,6.5,2
2024,Rondônia,Rural,Pública,38.8,23.4,32,5.8,0,0
2024,Acre,Total,Total,26.4,24.3,30.2,8.9,9.6,0.6
2024,Acre,Urbana,Total,8.8,50.2,16.6,9.3,13.5,1.6
2024,Acre,Rural,Total,33.8,13.3,36,8.7,7.9,0.3
2024,Acre,Total,Federal,0,0,28.6,71.4,0,0
2024,Acre,Urbana,Federal,0,0,16.7,83.3,0,0
2024,Acre,Rural,Federal,0,0,100,0,0,0
2024,Acre,Total,Estadual,15.7,16.9,40.9,11.3,13.5,1.7
2024,Acre,Urbana,Estadual,5.6,29.4,27.8,10,23.9,3.3
2024,Acre,Rural,Estadual,20.2,11.4,46.7,11.9,9,0.8
2024,Acre,Total,Municipal,34,29.5,23.1,5.9,7.5,0
2024,Acre,Urbana,Municipal,9.3,73.3,5.8,3.6,8,0
2024,Acre,Rural,Municipal,42.5,14.4,29.1,6.7,7.3,0
2024,Acre,Total,Privada,22,22,26.8,26.8,0,2.4
2024,Acre,Urbana,Privada,22,22,26.8,26.8,0,2.4
2024,Acre,Total,Pública,26.5,24.3,30.3,8.4,9.8,0.7
2024,Acre,Urbana,Pública,7.5,53,15.6,7.5,14.8,1.6
2024,Acre,Rural,Pública,33.8,13.3,36,8.7,7.9,0.3
2024,Amazonas,Total,Total,16.5,30,29.5,10,12.4,1.6
2024,Amazonas,Urbana,Total,6.1,45.4,21.9,11.9,11.2,3.5
2024,Amazonas,Rural,Total,21.8,22.2,33.3,9,13,0.7
2024,Amazonas,Total,Federal,0,5.6,44.4,33.3,16.7,0
2024,Amazonas,Urbana,Federal,0,6.7,33.3,40,20,0
2024,Amazonas,Rural,Federal,0,0,100,0,0,0
2024,Amazonas,Total,Estadual,4.5,31.7,23.5,19,15.6,5.7
2024,Amazonas,Urbana,Estadual,2.9,31.2,25.4,16.2,17.7,6.6
2024,Amazonas,Rural,Estadual,9.9,33.3,17,28.7,8.2,2.9
2024,Amazonas,Total,Municipal,18.7,28.5,31.2,7.6,12.9,1.1
2024,Amazonas,Urbana,Municipal,3.8,56,20,5.9,11.4,2.9
2024,Amazonas,Rural,Municipal,22.4,21.7,34,8,13.2,0.7
2024,Amazonas,Total,Privada,16.3,44.7,20.5,18.2,0,0.3
2024,Amazonas,Urbana,Privada,16.4,44.8,20.4,18,0,0.4
2024,Amazonas,Rural,Privada,0,33.3,33.3,33.4,0,0
2024,Amazonas,Total,Pública,16.5,28.9,30.1,9.4,13.3,1.8
2024,Amazonas,Urbana,Pública,3.4,45.6,22.3,10.3,14,4.4
2024,Amazonas,Rural,Pública,21.8,22.2,33.3,9,13,0.7
2024,Roraima,Total,Total,42.1,23.9,18,8.8,6,1.2
2024,Roraima,Urbana,Total,13,42.4,22.8,10.1,9.5,2.2
2024,Roraima,Rural,Total,57.8,13.9,15.5,8.2,4.1,0.5
2024,Roraima,Total,Federal,0,14.3,57.1,28.6,0,0
2024,Roraima,Urbana,Federal,0,0,60,40,0,0
2024,Roraima,Rural,Federal,0,50,50,0,0,0
2024,Roraima,Total,Estadual,36.7,5.4,27,18.9,10.2,1.8
2024,Roraima,Urbana,Estadual,0,6.2,38.3,29.6,21,4.9
2024,Roraima,Rural,Estadual,46.9,5.2,23.8,15.9,7.2,1
2024,Roraima,Total,Municipal,50.2,35.4,10.5,0.6,3.1,0.2
2024,Roraima,Urbana,Municipal,20.2,56.3,15.8,0.5,6.6,0.6
2024,Roraima,Rural,Municipal,68.8,22.4,7.1,0.7,1,0
2024,Roraima,Total,Privada,10.4,54.2,18.8,10.4,2.1,4.1
2024,Roraima,Urbana,Privada,8.5,55.3,19.1,10.6,2.1,4.4
2024,Roraima,Rural,Privada,100,0,0,0,0,0
2024,Roraima,Total,Pública,43.9,22.2,18,8.8,6.2,0.9
2024,Roraima,Urbana,Pública,13.8,40.1,23.4,10,10.8,1.9
2024,Roraima,Rural,Pública,57.8,14,15.5,8.2,4.1,0.4
2024,Pará,Total,Total,21.2,30.4,25.7,8.4,12.5,1.8
2024,Pará,Urbana,Total,8.2,41.1,22.7,11.2,13.8,3
2024,Pará,Rural,Total,28.4,24.4,27.4,6.9,11.8,1.1
2024,Pará,Total,Federal,0,0,30.4,47.8,17.4,4.4
2024,Pará,Urbana,Federal,0,0,27.3,50,18.2,4.5
2024,Pará,Rural,Federal,0,0,100,0,0,0
2024,Pará,Total,Estadual,2.7,18.7,18.1,22,33.9,4.6
2024,Pará,Urbana,Estadual,2,19.7,16.5,20.2,35.5,6.1
2024,Pará,Rural,Estadual,4.9,15.9,22.8,27.2,29.2,0
2024,Pará,Total,Municipal,23.6,31.1,26.7,5.6,11.4,1.6
2024,Pará,Urbana,Municipal,5.8,50.9,23.9,4.3,12,3.1
2024,Pará,Rural,Municipal,29.4,24.6,27.6,6.1,11.2,1.1
2024,Pará,Total,Privada,18.2,36.3,24.6,18.9,1,1
2024,Pará,Urbana,Privada,18.4,35.8,24.7,19.1,1.1,0.9
2024,Pará,Rural,Privada,12.9,51.6,22.6,12.9,0,0
2024,Pará,Total,Pública,21.5,29.8,25.8,7.4,13.6,1.9
2024,Pará,Urbana,Pública,4.8,42.8,22.1,8.6,17.9,3.8
2024,Pará,Rural,Pública,28.5,24.2,27.4,6.8,11.9,1.2
2024,Amapá,Total,Total,22.4,35.5,18,12,9.8,2.3
2024,Amapá,Urbana,Total,2.7,47.7,17.3,13.9,14.1,4.3
2024,Amapá,Rural,Total,40.2,24.4,18.7,10.3,5.9,0.5
2024,Amapá,Total,Federal,0,0,50,33.3,16.7,0
2024,Amapá,Urbana,Federal,0,0,50,33.3,16.7,0
2024,Amapá,Total,Estadual,19,18.8,26.4,18.8,12.8,4.2
2024,Amapá,Urbana,Estadual,0.7,27.4,19.9,20.5,21.9,9.6
2024,Amapá,Rural,Estadual,31.1,13.1,30.6,17.6,6.8,0.8
2024,Amapá,Total,Municipal,28.9,50.4,7.9,3.2,8.9,0.7
2024,Amapá,Urbana,Municipal,1.7,71.2,9,2.8,13.6,1.7
2024,Amapá,Rural,Municipal,50,34.2,7,3.5,5.3,0
2024,Amapá,Total,Privada,8,39.1,27.6,23,1.1,1.2
2024,Amapá,Urbana,Privada,8.5,36.6,28,24.4,1.2,1.3
2024,Amapá,Rural,Privada,0,80,20,0,0,0
2024,Amapá,Total,Pública,24,35,16.9,10.8,10.8,2.5
2024,Amapá,Urbana,Pública,1.2,50.5,14.6,11.2,17.3,5.2
2024,Amapá,Rural,Pública,40.7,23.8,18.7,10.4,6,0.4
2024,Tocantins,Total,Total,17.8,37.5,22.1,14.7,7,0.9
2024,Tocantins,Urbana,Total,11.7,40.8,23.5,15.8,6.8,1.4
2024,Tocantins,Rural,Total,31.6,30,19,12,7.2,0.2
2024,Tocantins,Total,Federal,0,54.5,27.3,18.2,0,0
2024,Tocantins,Urbana,Federal,0,44.4,33.3,22.3,0,0
2024,Tocantins,Rural,Federal,0,100,0,0,0,0
2024,Tocantins,Total,Estadual,8.2,14.8,28.4,33.4,13.2,2
2024,Tocantins,Urbana,Estadual,1.9,18,27.4,35.3,14.8,2.6
2024,Tocantins,Rural,Estadual,22.2,7.6,30.6,29.2,9.7,0.7
2024,Tocantins,Total,Municipal,23.7,50.1,17,3.5,5,0.7
2024,Tocantins,Urbana,Municipal,16.8,56.2,19,2.7,4.3,1
2024,Tocantins,Rural,Municipal,35.9,39.5,13.5,4.8,6.3,0
2024,Tocantins,Total,Privada,13.5,30.7,31.3,22.9,1.6,0
2024,Tocantins,Urbana,Privada,13.3,31.4,30.3,23.4,1.6,0
2024,Tocantins,Rural,Privada,25,0,75,0,0,0
2024,Tocantins,Total,Pública,18.4,38.4,20.9,13.5,7.7,1.1
2024,Tocantins,Urbana,Pública,11.4,42.7,22.1,14.3,7.9,1.6
2024,Tocantins,Rural,Pública,31.7,30.2,18.5,12.1,7.3,0.2
2024,Maranhão,Total,Total,24.5,26.6,21.5,10.9,15.4,1.1
2024,Maranhão,Urbana,Total,12.4,38.7,22.3,11.2,14,1.4
2024,Maranhão,Rural,Total,31.5,19.6,21.1,10.7,16.2,0.9
2024,Maranhão,Total,Federal,0,6.5,9.7,45.2,38.6,0
2024,Maranhão,Urbana,Federal,0,8.7,4.3,47.8,39.2,0
2024,Maranhão,Rural,Federal,0,0,25,37.5,37.5,0
2024,Maranhão,Total,Estadual,21,24.4,16.9,16.7,20.4,0.6
2024,Maranhão,Urbana,Estadual,2.5,19.1,22,21.1,34.4,0.9
2024,Maranhão,Rural,Estadual,40.6,30,11.4,12,5.6,0.4
2024,Maranhão,Total,Municipal,25,25.8,21.8,9.6,16.6,1.2
2024,Maranhão,Urbana,Municipal,10.6,45.3,21,6.8,14.4,1.9
2024,Maranhão,Rural,Municipal,30.7,18,22.2,10.8,17.5,0.8
2024,Maranhão,Total,Privada,25.2,35.8,24.1,14.5,0.3,0.1
2024,Maranhão,Urbana,Privada,23.3,32.8,26.8,16.8,0.3,0
2024,Maranhão,Rural,Privada,36.1,52.7,9.5,1.7,0,0
2024,Maranhão,Total,Pública,24.5,25.6,21.3,10.5,17.1,1
2024,Maranhão,Urbana,Pública,9.2,40.5,21,9.6,18,1.7
2024,Maranhão,Rural,Pública,31.4,18.8,21.4,10.9,16.6,0.9
2024,Piauí,Total,Total,23.2,30.7,17.1,15.9,11.5,1.6
2024,Piauí,Urbana,Total,15.7,36.6,16.9,17.3,11.8,1.7
2024,Piauí,Rural,Total,33.7,22.5,17.3,13.8,11.1,1.6
2024,Piauí,Total,Federal,0,0,0,34.8,65.2,0
2024,Piauí,Urbana,Federal,0,0,0,30,70,0
2024,Piauí,Rural,Federal,0,0,0,66.7,33.3,0
2024,Piauí,Total,Estadual,1.7,18.5,17.5,34.7,22.9,4.7
2024,Piauí,Urbana,Estadual,1.6,14.7,17.3,37,24.2,5.2
2024,Piauí,Rural,Estadual,2.9,49.3,18.8,15.9,11.6,1.5
2024,Piauí,Total,Municipal,28.2,33.1,15.2,11.9,10.4,1.2
2024,Piauí,Urbana,Municipal,19.9,47.1,12.7,9.8,9.7,0.8
2024,Piauí,Rural,Municipal,35.1,21.4,17.3,13.7,11.1,1.4
2024,Piauí,Total,Privada,21,33.4,29.9,15,0,0.7
2024,Piauí,Urbana,Privada,21.1,33.3,29.9,15.1,0,0.6
2024,Piauí,Rural,Privada,0,100,0,0,0,0
2024,Piauí,Total,Pública,23.5,30.4,15.5,16,12.9,1.7
2024,Piauí,Urbana,Pública,14.4,37.3,13.9,17.9,14.5,2
2024,Piauí,Rural,Pública,33.7,22.5,17.3,13.9,11.1,1.5
2024,Ceará,Total,Total,15.6,33.2,27.9,11.5,10,1.8
2024,Ceará,Urbana,Total,14.5,37,26.3,12.7,8,1.5
2024,Ceará,Rural,Total,17.9,25.5,31,9.1,14.1,2.4
2024,Ceará,Total,Federal,2.9,14.3,40,40,2.8,0
2024,Ceará,Urbana,Federal,3,12.1,39.4,42.4,3.1,0
2024,Ceará,Rural,Federal,0,50,50,0,0,0
2024,Ceará,Total,Estadual,0.3,38.1,17.3,29.5,13.6,1.2
2024,Ceará,Urbana,Estadual,0.3,39.1,15.8,30.4,13.5,0.9
2024,Ceará,Rural,Estadual,0,31.8,26.2,24.3,14,3.7
2024,Ceará,Total,Municipal,15,32.7,29,8.2,12.7,2.4
2024,Ceará,Urbana,Municipal,11.9,39.3,27,8,11.4,2.4
2024,Ceará,Rural,Municipal,18.6,25,31.3,8.5,14.2,2.4
2024,Ceará,Total,Privada,24.5,33,29.1,12.7,0.3,0.4
2024,Ceará,Urbana,Privada,24.4,32.9,29.1,12.9,0.3,0.4
2024,Ceará,Rural,Privada,29.4,47.1,23.5,0,0,0
2024,Ceará,Total,Pública,13,33.2,27.5,11.1,12.8,2.4
2024,Ceará,Urbana,Pública,9.6,39,25,12.6,11.7,2.1
2024,Ceará,Rural,Pública,17.8,25.3,31.1,9.1,14.2,2.5
2024,Rio Grande do Norte,Total,Total,22.7,35.9,19.2,12.2,8.9,1.1
2024,Rio Grande do Norte,Urbana,Total,11.9,41,21.7,14.2,9.8,1.4
2024,Rio Grande do Norte,Rural,Total,43.3,26.1,14.6,8.3,7.3,0.4
2024,Rio Grande do Norte,Total,Federal,0,7.4,33.3,40.7,18.6,0
2024,Rio Grande do Norte,Urbana,Federal,0,8.3,37.5,37.5,16.7,0
2024,Rio Grande do Norte,Rural,Federal,0,0,0,66.7,33.3,0
2024,Rio Grande do Norte,Total,Estadual,7.9,24.1,25.2,21.7,17.4,3.7
2024,Rio Grande do Norte,Urbana,Estadual,6.9,23.9,24.2,23.3,17.9,3.8
2024,Rio Grande do Norte,Rural,Estadual,17.9,26.8,33.9,7.1,12.5,1.8
2024,Rio Grande do Norte,Total,Municipal,28.5,38.7,15.4,7.3,9.4,0.7
2024,Rio Grande do Norte,Urbana,Municipal,10.4,53.1,17.3,6.2,11.9,1.1
2024,Rio Grande do Norte,Rural,Municipal,45.1,25.5,13.7,8.2,7.1,0.4
2024,Rio Grande do Norte,Total,Privada,18.3,38.2,25.1,17.8,0.3,0.3
2024,Rio Grande do Norte,Urbana,Privada,18.3,37.6,25.5,18.1,0.3,0.2
2024,Rio Grande do Norte,Rural,Privada,21.1,63.2,10.5,5.2,0,0
2024,Rio Grande do Norte,Total,Pública,23.8,35.3,17.7,10.7,11.2,1.3
2024,Rio Grande do Norte,Urbana,Pública,9,42.5,20,12.5,14,2
2024,Rio Grande do Norte,Rural,Pública,43.7,25.5,14.7,8.3,7.5,0.3
2024,Paraíba,Total,Total,28.9,26.5,13.2,17,12.4,2
2024,Paraíba,Urbana,Total,20.9,32,16.3,16.4,11.9,2.5
2024,Paraíba,Rural,Total,42.8,16.8,7.7,18,13.4,1.3
2024,Paraíba,Total,Federal,0,26.9,38.5,23.1,11.5,0
2024,Paraíba,Urbana,Federal,0,28,40,24,8,0
2024,Paraíba,Rural,Federal,0,0,0,0,100,0
2024,Paraíba,Total,Estadual,1.3,24.9,13.7,34.9,22.5,2.7
2024,Paraíba,Urbana,Estadual,0.7,26.3,13.2,35.8,21.5,2.5
2024,Paraíba,Rural,Estadual,6.3,12.7,17.5,27,31.7,4.8
2024,Paraíba,Total,Municipal,37.2,22.9,10.2,13.2,14,2.5
2024,Paraíba,Urbana,Municipal,29.5,29.3,13.5,8.3,15.5,3.9
2024,Paraíba,Rural,Municipal,44.2,17,7.2,17.7,12.6,1.3
2024,Paraíba,Total,Privada,19.5,39.9,22.3,17.9,0.4,0
2024,Paraíba,Urbana,Privada,19.3,40.1,22.1,18,0.5,0
2024,Paraíba,Rural,Privada,40,0,60,0,0,0
2024,Paraíba,Total,Pública,31.2,23.2,11,16.8,15.4,2.4
2024,Paraíba,Urbana,Pública,21.6,28.5,13.8,15.7,17,3.4
2024,Paraíba,Rural,Pública,42.8,16.9,7.6,18.1,13.4,1.2
2024,Pernambuco,Total,Total,24.2,33,18.5,11.6,10.2,2.5
2024,Pernambuco,Urbana,Total,13.2,37.3,22,13.7,11,2.8
2024,Pernambuco,Rural,Total,44.1,25.2,12.1,7.9,8.6,2.1
2024,Pernambuco,Total,Federal,0,3.8,15.4,61.5,19.3,0
2024,Pernambuco,Urbana,Federal,0,5.3,10.5,68.4,15.8,0
2024,Pernambuco,Rural,Federal,0,0,28.6,42.9,28.5,0
2024,Pernambuco,Total,Estadual,4.1,18.3,16.1,33.6,24.6,3.3
2024,Pernambuco,Urbana,Estadual,0.2,18.2,18.4,36.8,24.2,2.2
2024,Pernambuco,Rural,Estadual,17.1,18.8,8.3,22.9,26.3,6.6
2024,Pernambuco,Total,Municipal,30.8,32.6,15.7,6.1,11.4,3.4
2024,Pernambuco,Urbana,Municipal,13.2,40,19.7,5.6,16.2,5.3
2024,Pernambuco,Rural,Municipal,46.3,26,12.2,6.5,7.1,1.9
2024,Pernambuco,Total,Privada,19.8,41.6,25.6,12.4,0.4,0.2
2024,Pernambuco,Urbana,Privada,18.5,42.3,25.9,12.8,0.4,0.1
2024,Pernambuco,Rural,Privada,59.4,21.7,17.4,1.5,0,0
2024,Pernambuco,Total,Pública,25.8,29.8,15.8,11.3,13.8,3.5
2024,Pernambuco,Urbana,Pública,9.6,34,19.3,14.3,18.4,4.4
2024,Pernambuco,Rural,Pública,43.7,25.3,11.9,8,8.8,2.3
2024,Alagoas,Total,Total,17.9,25.5,13.6,17.5,21.6,3.9
2024,Alagoas,Urbana,Total,14.7,32.8,16.6,17,15.6,3.3
2024,Alagoas,Rural,Total,22.6,14.6,9.2,18.2,30.6,4.8
2024,Alagoas,Total,Federal,0,0,29.4,41.2,29.4,0
2024,Alagoas,Urbana,Federal,0,0,29.4,41.2,29.4,0
2024,Alagoas,Total,Estadual,2.9,16.5,16.8,27.4,30.3,6.1
2024,Alagoas,Urbana,Estadual,2.6,17.6,15.8,27.1,31.1,5.8
2024,Alagoas,Rural,Estadual,5.4,8.1,24.3,29.7,24.3,8.2
2024,Alagoas,Total,Municipal,21.2,24.9,9.9,13.7,25.8,4.5
2024,Alagoas,Urbana,Municipal,18.5,37.9,11.3,8.5,19.3,4.5
2024,Alagoas,Rural,Municipal,23.4,14.1,8.7,18,31.1,4.7
2024,Alagoas,Total,Privada,14.5,33.8,25.4,25.2,0.7,0.4
2024,Alagoas,Urbana,Privada,14.8,32.7,25.6,25.8,0.8,0.3
2024,Alagoas,Rural,Privada,0,83.3,16.7,0,0,0
2024,Alagoas,Total,Pública,18.7,23.6,10.9,15.7,26.4,4.7
2024,Alagoas,Urbana,Pública,14.7,32.8,12.6,13.2,22.1,4.6
2024,Alagoas,Rural,Pública,22.8,13.9,9.2,18.3,30.9,4.9
